2022-05-15 16:05:759 INFO  LoginPage :57 - verifying email is required error message :[[ChromeDriver: chrome on WINDOWS (fa50d829864fcb92e6af7aac297f9637)] -> xpath: //span[@id='Email-error']]
2022-05-15 16:05:789 INFO  LoginPage :62 - verifying password is required error message :[[ChromeDriver: chrome on WINDOWS (fa50d829864fcb92e6af7aac297f9637)] -> xpath: //span[@id='Password-error']]
2022-05-15 16:05:817 INFO  LoginPage :67 - verifying confirmed password is required error message :[[ChromeDriver: chrome on WINDOWS (fa50d829864fcb92e6af7aac297f9637)] -> xpath: //span[@id='ConfirmPassword-error']]
2022-05-15 17:05:585 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:958 INFO  HomePage :46 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (d78aeb971525ef4bf8d4c7a11161818e)] -> link text: Register]
2022-05-15 17:05:30 INFO  LoginPage :128 - select Gender : Female
2022-05-15 21:05:521 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 21:05:590 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 21:05:693 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 21:05:867 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (4b0e398fb75161b1458c7d31efc34940)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 21:05:413 INFO  DesktopPage :19 - verifying desktop text :[[ChromeDriver: chrome on WINDOWS (4b0e398fb75161b1458c7d31efc34940)] -> xpath: //h1[normalize-space()='Desktops']]
2022-05-15 22:05:90 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 22:05:685 INFO  HomePage :56 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (5581cc2cf98459569e191eb3def58847)] -> link text: Register]
2022-05-15 22:05:532 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 22:05:279 INFO  HomePage :56 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (750e91f86a9cad23e32d6374d3e89c1a)] -> link text: Register]
2022-05-15 23:05:112 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:276 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (d55624d316c4cbb78102124efaac6e7f)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:363 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:205 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (68bd81b0b4ade6c5ea825b068beee767)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:762 INFO  DesktopPage :22 - verifying desktop text :[[ChromeDriver: chrome on WINDOWS (68bd81b0b4ade6c5ea825b068beee767)] -> xpath: //h1[normalize-space()='Desktops']]
2022-05-15 23:05:778 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:705 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (ad200302f5e1d1c7fe2c4ef38d3bfdec)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:191 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:662 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:612 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (e228155e9f237366d224eb103ca9e604)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:152 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:904 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:810 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (21cb8633b64e7a050c0c1c5d668b3efd)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:156 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:262 INFO  BuildYourOwnComputerPage :64 - Select processor : [[ChromeDriver: chrome on WINDOWS (21cb8633b64e7a050c0c1c5d668b3efd)] -> xpath: //dd[1]//select[1]]
2022-05-15 23:05:346 INFO  BuildYourOwnComputerPage :69 - Select ram : [[ChromeDriver: chrome on WINDOWS (21cb8633b64e7a050c0c1c5d668b3efd)] -> xpath: //dd[2]//select[1]]
2022-05-15 23:05:412 INFO  BuildYourOwnComputerPage :78 - Select HDD : 320 GB
2022-05-15 23:05:528 INFO  BuildYourOwnComputerPage :97 - select software : Microsoft Office [+$50.00]
2022-05-15 23:05:362 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:123 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (ada038fd6c716830e10d39989775f21a)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:430 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:480 INFO  BuildYourOwnComputerPage :64 - Select processor : [[ChromeDriver: chrome on WINDOWS (ada038fd6c716830e10d39989775f21a)] -> xpath: //dd[1]//select[1]]
2022-05-15 23:05:557 INFO  BuildYourOwnComputerPage :69 - Select ram : [[ChromeDriver: chrome on WINDOWS (ada038fd6c716830e10d39989775f21a)] -> xpath: //dd[2]//select[1]]
2022-05-15 23:05:622 INFO  BuildYourOwnComputerPage :78 - Select HDD : 400 GB [+$100.00]
2022-05-15 23:05:717 INFO  BuildYourOwnComputerPage :97 - select software : Acrobat Reader [+$10.00]
2022-05-15 23:05:494 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:82 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:99 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (fb1a697bfc67abaf95569e273d8f1776)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:625 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:725 INFO  BuildYourOwnComputerPage :64 - Select processor : [[ChromeDriver: chrome on WINDOWS (fb1a697bfc67abaf95569e273d8f1776)] -> xpath: //dd[1]//select[1]]
2022-05-15 23:05:809 INFO  BuildYourOwnComputerPage :69 - Select ram : [[ChromeDriver: chrome on WINDOWS (fb1a697bfc67abaf95569e273d8f1776)] -> xpath: //dd[2]//select[1]]
2022-05-15 23:05:871 INFO  BuildYourOwnComputerPage :78 - Select HDD : 320 GB
2022-05-15 23:05:975 INFO  BuildYourOwnComputerPage :97 - select software : Microsoft Office [+$50.00]
2022-05-15 23:05:785 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:141 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (138fbedac5143b562ecf9ff5ed7bb7df)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:547 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:593 INFO  BuildYourOwnComputerPage :64 - Select processor : [[ChromeDriver: chrome on WINDOWS (138fbedac5143b562ecf9ff5ed7bb7df)] -> xpath: //dd[1]//select[1]]
2022-05-15 23:05:664 INFO  BuildYourOwnComputerPage :69 - Select ram : [[ChromeDriver: chrome on WINDOWS (138fbedac5143b562ecf9ff5ed7bb7df)] -> xpath: //dd[2]//select[1]]
2022-05-15 23:05:725 INFO  BuildYourOwnComputerPage :78 - Select HDD : 400 GB [+$100.00]
2022-05-15 23:05:816 INFO  BuildYourOwnComputerPage :97 - select software : Acrobat Reader [+$10.00]
2022-05-15 23:05:874 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:211 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (6fbf5f29a1e6489a456fd67be80a825c)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:798 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:850 INFO  BuildYourOwnComputerPage :64 - Select processor : [[ChromeDriver: chrome on WINDOWS (6fbf5f29a1e6489a456fd67be80a825c)] -> xpath: //dd[1]//select[1]]
2022-05-15 23:05:917 INFO  BuildYourOwnComputerPage :69 - Select ram : [[ChromeDriver: chrome on WINDOWS (6fbf5f29a1e6489a456fd67be80a825c)] -> xpath: //dd[2]//select[1]]
2022-05-15 23:05:989 INFO  BuildYourOwnComputerPage :78 - Select HDD : 320 GB
2022-05-15 23:05:105 INFO  BuildYourOwnComputerPage :97 - select software : Total Commander [+$5.00]
2022-05-15 23:05:242 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:410 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (22420b32959aea85f688a9fce36b8fac)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:387 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:44 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (aa833f8ea9e8b2152a54c779b6e0f03d)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:604 INFO  DesktopPage :22 - verifying desktop text :[[ChromeDriver: chrome on WINDOWS (aa833f8ea9e8b2152a54c779b6e0f03d)] -> xpath: //h1[normalize-space()='Desktops']]
2022-05-15 23:05:524 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:762 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (fade59c832972ae2701065ae0df14093)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:101 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:184 INFO  BuildYourOwnComputerPage :64 - Select processor : [[ChromeDriver: chrome on WINDOWS (fade59c832972ae2701065ae0df14093)] -> xpath: //dd[1]//select[1]]
2022-05-15 23:05:272 INFO  BuildYourOwnComputerPage :69 - Select ram : [[ChromeDriver: chrome on WINDOWS (fade59c832972ae2701065ae0df14093)] -> xpath: //dd[2]//select[1]]
2022-05-15 23:05:325 INFO  BuildYourOwnComputerPage :78 - Select HDD : 320 GB
2022-05-15 23:05:432 INFO  BuildYourOwnComputerPage :97 - select software : Microsoft Office [+$50.00]
2022-05-15 23:05:247 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:91 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (08e76274a6bd4c399ecfc861ebe8bd4c)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:418 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:462 INFO  BuildYourOwnComputerPage :64 - Select processor : [[ChromeDriver: chrome on WINDOWS (08e76274a6bd4c399ecfc861ebe8bd4c)] -> xpath: //dd[1]//select[1]]
2022-05-15 23:05:532 INFO  BuildYourOwnComputerPage :69 - Select ram : [[ChromeDriver: chrome on WINDOWS (08e76274a6bd4c399ecfc861ebe8bd4c)] -> xpath: //dd[2]//select[1]]
2022-05-15 23:05:604 INFO  BuildYourOwnComputerPage :78 - Select HDD : 400 GB [+$100.00]
2022-05-15 23:05:713 INFO  BuildYourOwnComputerPage :97 - select software : Acrobat Reader [+$10.00]
2022-05-15 23:05:465 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:619 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (f41ee2132073c8811bbe94b05d80c95e)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:52 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:97 INFO  BuildYourOwnComputerPage :64 - Select processor : [[ChromeDriver: chrome on WINDOWS (f41ee2132073c8811bbe94b05d80c95e)] -> xpath: //dd[1]//select[1]]
2022-05-15 23:05:163 INFO  BuildYourOwnComputerPage :69 - Select ram : [[ChromeDriver: chrome on WINDOWS (f41ee2132073c8811bbe94b05d80c95e)] -> xpath: //dd[2]//select[1]]
2022-05-15 23:05:221 INFO  BuildYourOwnComputerPage :78 - Select HDD : 320 GB
2022-05-15 23:05:316 INFO  BuildYourOwnComputerPage :97 - select software : Total Commander [+$5.00]
2022-05-15 23:05:388 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:185 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (127e5e77f41edd520115d24377808f67)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:158 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:346 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (dfc5182c48dfddeb68a40e9c59c8ca52)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:860 INFO  DesktopPage :22 - verifying desktop text :[[ChromeDriver: chrome on WINDOWS (dfc5182c48dfddeb68a40e9c59c8ca52)] -> xpath: //h1[normalize-space()='Desktops']]
2022-05-15 23:05:789 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:106 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (52284a6ffb868050412191da15c4d13b)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:368 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:465 INFO  BuildYourOwnComputerPage :64 - Select processor : [[ChromeDriver: chrome on WINDOWS (52284a6ffb868050412191da15c4d13b)] -> xpath: //dd[1]//select[1]]
2022-05-15 23:05:548 INFO  BuildYourOwnComputerPage :69 - Select ram : [[ChromeDriver: chrome on WINDOWS (52284a6ffb868050412191da15c4d13b)] -> xpath: //dd[2]//select[1]]
2022-05-15 23:05:606 INFO  BuildYourOwnComputerPage :78 - Select HDD : 320 GB
2022-05-15 23:05:710 INFO  BuildYourOwnComputerPage :97 - select software : Microsoft Office [+$50.00]
2022-05-15 23:05:627 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:369 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (9a9f0a773f8fbbc00eefe142dd868f86)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:882 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2022-05-15 23:05:925 INFO  BuildYourOwnComputerPage :64 - Select processor : [[ChromeDriver: chrome on WINDOWS (9a9f0a773f8fbbc00eefe142dd868f86)] -> xpath: //dd[1]//select[1]]
2022-05-15 23:05:11 INFO  BuildYourOwnComputerPage :69 - Select ram : [[ChromeDriver: chrome on WINDOWS (9a9f0a773f8fbbc00eefe142dd868f86)] -> xpath: //dd[2]//select[1]]
2022-05-15 23:05:95 INFO  BuildYourOwnComputerPage :78 - Select HDD : 400 GB [+$100.00]
2022-05-15 23:05:207 INFO  BuildYourOwnComputerPage :97 - select software : Acrobat Reader [+$10.00]
2022-05-15 23:05:599 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:724 INFO  HomePage :45 - click on computer tab :[[ChromeDriver: chrome on WINDOWS (6e413ae003fa08be8e9b3d2c8e4e64a0)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-15 23:05:57 INFO  DesktopPage :28 - click on build your computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
